i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 19.800 seconds, Δt:   1.20, CFL: 3.25e-01
i:    100, t:     311.5 s, ωt:   0.03 (0.00 periods), wall: 34.337 seconds, Δt:   6.17, CFL: 7.20e-01
i:    200, t:    1048.2 s, ωt:   0.10 (0.02 periods), wall: 36.750 seconds, Δt:   9.05, CFL: 7.20e-01
i:    300, t:    1983.5 s, ωt:   0.20 (0.03 periods), wall: 39.171 seconds, Δt:   9.31, CFL: 7.20e-01
i:    400, t:    2905.5 s, ωt:   0.29 (0.05 periods), wall: 41.594 seconds, Δt:   8.62, CFL: 7.20e-01
i:    500, t:    3759.7 s, ωt:   0.38 (0.06 periods), wall: 44.007 seconds, Δt:   8.27, CFL: 7.20e-01
i:    600, t:    4534.2 s, ωt:   0.45 (0.07 periods), wall: 46.427 seconds, Δt:   7.45, CFL: 7.20e-01
i:    700, t:    5239.8 s, ωt:   0.52 (0.08 periods), wall: 48.846 seconds, Δt:   6.78, CFL: 7.20e-01
i:    800, t:    5889.7 s, ωt:   0.59 (0.09 periods), wall: 51.266 seconds, Δt:   6.11, CFL: 7.20e-01
i:    900, t:    6489.2 s, ωt:   0.65 (0.10 periods), wall: 53.696 seconds, Δt:   5.81, CFL: 7.20e-01
i:   1000, t:    7049.7 s, ωt:   0.70 (0.11 periods), wall: 56.124 seconds, Δt:   5.46, CFL: 7.20e-01
i:   1100, t:    7569.6 s, ωt:   0.76 (0.12 periods), wall: 58.550 seconds, Δt:   4.99, CFL: 7.20e-01
i:   1200, t:    7990.0 s, ωt:   0.80 (0.13 periods), wall: 1.016 minutes, Δt:   3.37, CFL: 7.20e-01
i:   1300, t:    8284.9 s, ωt:   0.83 (0.13 periods), wall: 1.056 minutes, Δt:   2.29, CFL: 7.20e-01
i:   1400, t:    8487.9 s, ωt:   0.85 (0.14 periods), wall: 1.097 minutes, Δt:   2.00, CFL: 7.20e-01
i:   1500, t:    8679.1 s, ωt:   0.87 (0.14 periods), wall: 1.137 minutes, Δt:   1.88, CFL: 7.20e-01
i:   1600, t:    8867.2 s, ωt:   0.89 (0.14 periods), wall: 1.177 minutes, Δt:   1.92, CFL: 7.20e-01
i:   1700, t:    9037.2 s, ωt:   0.90 (0.14 periods), wall: 1.217 minutes, Δt:   1.62, CFL: 7.20e-01
i:   1800, t:    9209.0 s, ωt:   0.92 (0.15 periods), wall: 1.258 minutes, Δt:   1.51, CFL: 7.20e-01
i:   1900, t:    9383.8 s, ωt:   0.94 (0.15 periods), wall: 1.298 minutes, Δt:   1.53, CFL: 7.20e-01
i:   2000, t:    9560.1 s, ωt:   0.96 (0.15 periods), wall: 1.338 minutes, Δt:   1.80, CFL: 7.20e-01
i:   2100, t:    9733.1 s, ωt:   0.97 (0.15 periods), wall: 1.378 minutes, Δt:   1.30, CFL: 7.20e-01
i:   2200, t:    9896.0 s, ωt:   0.99 (0.16 periods), wall: 1.418 minutes, Δt:   1.84, CFL: 7.20e-01
i:   2300, t:   10064.2 s, ωt:   1.01 (0.16 periods), wall: 1.459 minutes, Δt:   1.81, CFL: 7.20e-01
i:   2400, t:   10229.8 s, ωt:   1.02 (0.16 periods), wall: 1.499 minutes, Δt:   1.56, CFL: 7.20e-01
