i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 11.042 seconds, Δt:   1.20, CFL: 1.72e-01
i:    100, t:     291.8 s, ωt:   0.03 (0.00 periods), wall: 22.080 seconds, Δt:   5.09, CFL: 7.20e-01
i:    200, t:     824.4 s, ωt:   0.08 (0.01 periods), wall: 24.577 seconds, Δt:   5.31, CFL: 7.20e-01
i:    300, t:    1358.8 s, ωt:   0.14 (0.02 periods), wall: 27.084 seconds, Δt:   5.11, CFL: 7.20e-01
i:    400, t:    1852.3 s, ωt:   0.19 (0.03 periods), wall: 29.584 seconds, Δt:   4.53, CFL: 7.20e-01
i:    500, t:    2328.6 s, ωt:   0.23 (0.04 periods), wall: 32.100 seconds, Δt:   4.96, CFL: 7.20e-01
i:    600, t:    2796.9 s, ωt:   0.28 (0.04 periods), wall: 34.600 seconds, Δt:   4.70, CFL: 7.20e-01
i:    700, t:    3216.1 s, ωt:   0.32 (0.05 periods), wall: 37.103 seconds, Δt:   4.26, CFL: 7.20e-01
i:    800, t:    3587.7 s, ωt:   0.36 (0.06 periods), wall: 39.598 seconds, Δt:   3.16, CFL: 7.20e-01
i:    900, t:    3884.5 s, ωt:   0.39 (0.06 periods), wall: 42.100 seconds, Δt:   2.92, CFL: 7.20e-01
i:   1000, t:    4183.9 s, ωt:   0.42 (0.07 periods), wall: 44.609 seconds, Δt:   2.57, CFL: 7.20e-01
i:   1100, t:    4457.6 s, ωt:   0.45 (0.07 periods), wall: 47.110 seconds, Δt:   3.04, CFL: 7.20e-01
i:   1200, t:    4766.0 s, ωt:   0.48 (0.08 periods), wall: 49.607 seconds, Δt:   3.05, CFL: 7.20e-01
i:   1300, t:    5062.1 s, ωt:   0.51 (0.08 periods), wall: 52.107 seconds, Δt:   2.72, CFL: 7.20e-01
i:   1400, t:    5327.4 s, ωt:   0.53 (0.08 periods), wall: 54.604 seconds, Δt:   2.62, CFL: 7.20e-01
i:   1500, t:    5579.0 s, ωt:   0.56 (0.09 periods), wall: 57.101 seconds, Δt:   2.52, CFL: 7.20e-01
i:   1600, t:    5835.6 s, ωt:   0.58 (0.09 periods), wall: 59.606 seconds, Δt:   2.53, CFL: 7.20e-01
i:   1700, t:    6068.1 s, ωt:   0.61 (0.10 periods), wall: 1.035 minutes, Δt:   2.45, CFL: 7.20e-01
i:   1800, t:    6287.3 s, ωt:   0.63 (0.10 periods), wall: 1.077 minutes, Δt:   1.79, CFL: 7.20e-01
i:   1900, t:    6494.2 s, ωt:   0.65 (0.10 periods), wall: 1.118 minutes, Δt:   1.84, CFL: 7.20e-01
i:   2000, t:    6701.3 s, ωt:   0.67 (0.11 periods), wall: 1.160 minutes, Δt:   2.29, CFL: 7.20e-01
i:   2100, t:    6895.4 s, ωt:   0.69 (0.11 periods), wall: 1.202 minutes, Δt:   2.02, CFL: 7.20e-01
i:   2200, t:    7098.0 s, ωt:   0.71 (0.11 periods), wall: 1.244 minutes, Δt:   1.96, CFL: 7.20e-01
i:   2300, t:    7291.3 s, ωt:   0.73 (0.12 periods), wall: 1.285 minutes, Δt:   1.98, CFL: 7.20e-01
i:   2400, t:    7484.1 s, ωt:   0.75 (0.12 periods), wall: 1.327 minutes, Δt:   1.97, CFL: 7.20e-01
i:   2500, t:    7682.3 s, ωt:   0.77 (0.12 periods), wall: 1.369 minutes, Δt:   1.93, CFL: 7.20e-01
i:   2600, t:    7871.3 s, ωt:   0.79 (0.13 periods), wall: 1.410 minutes, Δt:   1.88, CFL: 7.20e-01
i:   2700, t:    8057.7 s, ωt:   0.81 (0.13 periods), wall: 1.452 minutes, Δt:   1.71, CFL: 7.20e-01
i:   2800, t:    8229.7 s, ωt:   0.82 (0.13 periods), wall: 1.494 minutes, Δt:   1.84, CFL: 7.20e-01
i:   2900, t:    8406.9 s, ωt:   0.84 (0.13 periods), wall: 1.535 minutes, Δt:   1.80, CFL: 7.20e-01
i:   3000, t:    8572.9 s, ωt:   0.86 (0.14 periods), wall: 1.577 minutes, Δt:   1.59, CFL: 7.20e-01
i:   3100, t:    8734.8 s, ωt:   0.87 (0.14 periods), wall: 1.619 minutes, Δt:   1.70, CFL: 7.20e-01
i:   3200, t:    8901.1 s, ωt:   0.89 (0.14 periods), wall: 1.660 minutes, Δt:   1.58, CFL: 7.20e-01
i:   3300, t:    9055.5 s, ωt:   0.91 (0.14 periods), wall: 1.702 minutes, Δt:   1.37, CFL: 7.20e-01
i:   3400, t:    9199.3 s, ωt:   0.92 (0.15 periods), wall: 1.744 minutes, Δt:   1.68, CFL: 7.20e-01
i:   3500, t:    9370.2 s, ωt:   0.94 (0.15 periods), wall: 1.785 minutes, Δt:   1.76, CFL: 7.20e-01
i:   3600, t:    9538.4 s, ωt:   0.95 (0.15 periods), wall: 1.827 minutes, Δt:   1.92, CFL: 7.20e-01
i:   3700, t:    9701.4 s, ωt:   0.97 (0.15 periods), wall: 1.869 minutes, Δt:   1.53, CFL: 7.20e-01
i:   3800, t:    9857.5 s, ωt:   0.99 (0.16 periods), wall: 1.910 minutes, Δt:   1.49, CFL: 7.20e-01
i:   3900, t:   10011.0 s, ωt:   1.00 (0.16 periods), wall: 1.952 minutes, Δt:   1.37, CFL: 7.20e-01
i:   4000, t:   10169.7 s, ωt:   1.02 (0.16 periods), wall: 1.994 minutes, Δt:   1.68, CFL: 7.20e-01
i:   4100, t:   10333.0 s, ωt:   1.03 (0.16 periods), wall: 2.035 minutes, Δt:   1.46, CFL: 7.20e-01
i:   4200, t:   10483.6 s, ωt:   1.05 (0.17 periods), wall: 2.077 minutes, Δt:   1.66, CFL: 7.20e-01
i:   4300, t:   10643.5 s, ωt:   1.06 (0.17 periods), wall: 2.119 minutes, Δt:   1.52, CFL: 7.20e-01
i:   4400, t:   10793.7 s, ωt:   1.08 (0.17 periods), wall: 2.160 minutes, Δt:   1.65, CFL: 7.20e-01
i:   4500, t:   10956.3 s, ωt:   1.10 (0.17 periods), wall: 2.202 minutes, Δt:   1.38, CFL: 7.20e-01
i:   4600, t:   11094.5 s, ωt:   1.11 (0.18 periods), wall: 2.244 minutes, Δt:   1.40, CFL: 7.20e-01
i:   4700, t:   11254.9 s, ωt:   1.13 (0.18 periods), wall: 2.285 minutes, Δt:   1.65, CFL: 7.20e-01
i:   4800, t:   11403.7 s, ωt:   1.14 (0.18 periods), wall: 2.327 minutes, Δt:   1.36, CFL: 7.20e-01
i:   4900, t:   11543.7 s, ωt:   1.15 (0.18 periods), wall: 2.369 minutes, Δt:   1.55, CFL: 7.20e-01
i:   5000, t:   11699.2 s, ωt:   1.17 (0.19 periods), wall: 2.410 minutes, Δt:   1.59, CFL: 7.20e-01
i:   5100, t:   11836.0 s, ωt:   1.18 (0.19 periods), wall: 2.452 minutes, Δt:   1.29, CFL: 7.20e-01
i:   5200, t:   11968.8 s, ωt:   1.20 (0.19 periods), wall: 2.494 minutes, Δt:   1.49, CFL: 7.20e-01
i:   5300, t:   12109.9 s, ωt:   1.21 (0.19 periods), wall: 2.535 minutes, Δt:   1.40, CFL: 7.20e-01
i:   5400, t:   12244.4 s, ωt:   1.22 (0.19 periods), wall: 2.577 minutes, Δt:   1.37, CFL: 7.20e-01
i:   5500, t:   12376.6 s, ωt:   1.24 (0.20 periods), wall: 2.619 minutes, Δt:   1.26, CFL: 7.20e-01
i:   5600, t:   12508.1 s, ωt:   1.25 (0.20 periods), wall: 2.660 minutes, Δt:   1.44, CFL: 7.20e-01
i:   5700, t:   12645.7 s, ωt:   1.26 (0.20 periods), wall: 2.702 minutes, Δt:   1.63, CFL: 7.20e-01
i:   5800, t:   12790.6 s, ωt:   1.28 (0.20 periods), wall: 2.744 minutes, Δt:   1.17, CFL: 7.20e-01
i:   5900, t:   12932.5 s, ωt:   1.29 (0.21 periods), wall: 2.785 minutes, Δt:   1.49, CFL: 7.20e-01
i:   6000, t:   13072.4 s, ωt:   1.31 (0.21 periods), wall: 2.827 minutes, Δt:   1.41, CFL: 7.20e-01
i:   6100, t:   13208.9 s, ωt:   1.32 (0.21 periods), wall: 2.869 minutes, Δt:   1.46, CFL: 7.20e-01
i:   6200, t:   13342.2 s, ωt:   1.33 (0.21 periods), wall: 2.910 minutes, Δt:   1.34, CFL: 7.20e-01
i:   6300, t:   13482.1 s, ωt:   1.35 (0.21 periods), wall: 2.952 minutes, Δt:   1.41, CFL: 7.20e-01
i:   6400, t:   13624.1 s, ωt:   1.36 (0.22 periods), wall: 2.994 minutes, Δt:   1.25, CFL: 7.20e-01
i:   6500, t:   13762.0 s, ωt:   1.38 (0.22 periods), wall: 3.035 minutes, Δt:   1.41, CFL: 7.20e-01
