i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 10.975 seconds, Δt:   1.20, CFL: 1.65e-01
i:    100, t:     307.7 s, ωt:   0.03 (0.00 periods), wall: 21.715 seconds, Δt:   5.99, CFL: 7.20e-01
i:    200, t:     879.9 s, ωt:   0.09 (0.01 periods), wall: 23.942 seconds, Δt:   5.99, CFL: 7.20e-01
i:    300, t:    1414.3 s, ωt:   0.14 (0.02 periods), wall: 26.171 seconds, Δt:   5.50, CFL: 7.20e-01
i:    400, t:    1950.2 s, ωt:   0.20 (0.03 periods), wall: 28.403 seconds, Δt:   4.33, CFL: 7.20e-01
i:    500, t:    2438.5 s, ωt:   0.24 (0.04 periods), wall: 30.639 seconds, Δt:   4.95, CFL: 7.20e-01
i:    600, t:    2882.2 s, ωt:   0.29 (0.05 periods), wall: 32.884 seconds, Δt:   3.83, CFL: 7.20e-01
i:    700, t:    3319.8 s, ωt:   0.33 (0.05 periods), wall: 35.112 seconds, Δt:   4.56, CFL: 7.20e-01
i:    800, t:    3736.5 s, ωt:   0.37 (0.06 periods), wall: 37.337 seconds, Δt:   4.04, CFL: 7.20e-01
i:    900, t:    4111.9 s, ωt:   0.41 (0.07 periods), wall: 39.587 seconds, Δt:   2.72, CFL: 7.20e-01
i:   1000, t:    4387.1 s, ωt:   0.44 (0.07 periods), wall: 41.824 seconds, Δt:   3.12, CFL: 7.20e-01
i:   1100, t:    4694.2 s, ωt:   0.47 (0.07 periods), wall: 44.051 seconds, Δt:   3.09, CFL: 7.20e-01
i:   1200, t:    4965.7 s, ωt:   0.50 (0.08 periods), wall: 46.277 seconds, Δt:   2.85, CFL: 7.20e-01
i:   1300, t:    5213.8 s, ωt:   0.52 (0.08 periods), wall: 48.502 seconds, Δt:   2.64, CFL: 7.20e-01
i:   1400, t:    5467.7 s, ωt:   0.55 (0.09 periods), wall: 50.738 seconds, Δt:   2.62, CFL: 7.20e-01
i:   1500, t:    5721.7 s, ωt:   0.57 (0.09 periods), wall: 52.981 seconds, Δt:   2.44, CFL: 7.20e-01
i:   1600, t:    5957.9 s, ωt:   0.60 (0.09 periods), wall: 55.207 seconds, Δt:   2.33, CFL: 7.20e-01
i:   1700, t:    6169.1 s, ωt:   0.62 (0.10 periods), wall: 57.438 seconds, Δt:   1.96, CFL: 7.20e-01
i:   1800, t:    6382.3 s, ωt:   0.64 (0.10 periods), wall: 59.664 seconds, Δt:   2.23, CFL: 7.20e-01
i:   1900, t:    6587.1 s, ωt:   0.66 (0.10 periods), wall: 1.032 minutes, Δt:   2.28, CFL: 7.20e-01
i:   2000, t:    6781.2 s, ωt:   0.68 (0.11 periods), wall: 1.069 minutes, Δt:   2.17, CFL: 7.20e-01
i:   2100, t:    6997.7 s, ωt:   0.70 (0.11 periods), wall: 1.106 minutes, Δt:   2.01, CFL: 7.20e-01
i:   2200, t:    7189.1 s, ωt:   0.72 (0.11 periods), wall: 1.144 minutes, Δt:   1.92, CFL: 7.20e-01
i:   2300, t:    7369.7 s, ωt:   0.74 (0.12 periods), wall: 1.181 minutes, Δt:   1.58, CFL: 7.20e-01
i:   2400, t:    7553.9 s, ωt:   0.76 (0.12 periods), wall: 1.218 minutes, Δt:   2.02, CFL: 7.20e-01
i:   2500, t:    7750.5 s, ωt:   0.78 (0.12 periods), wall: 1.255 minutes, Δt:   1.82, CFL: 7.20e-01
i:   2600, t:    7934.8 s, ωt:   0.79 (0.13 periods), wall: 1.292 minutes, Δt:   1.78, CFL: 7.20e-01
i:   2700, t:    8111.9 s, ωt:   0.81 (0.13 periods), wall: 1.329 minutes, Δt:   1.95, CFL: 7.20e-01
i:   2800, t:    8288.2 s, ωt:   0.83 (0.13 periods), wall: 1.366 minutes, Δt:   1.90, CFL: 7.20e-01
i:   2900, t:    8459.1 s, ωt:   0.85 (0.13 periods), wall: 1.404 minutes, Δt:   1.84, CFL: 7.20e-01
i:   3000, t:    8634.3 s, ωt:   0.86 (0.14 periods), wall: 1.441 minutes, Δt:   1.59, CFL: 7.20e-01
i:   3100, t:    8796.5 s, ωt:   0.88 (0.14 periods), wall: 1.478 minutes, Δt:   1.86, CFL: 7.20e-01
i:   3200, t:    8965.1 s, ωt:   0.90 (0.14 periods), wall: 1.515 minutes, Δt:   1.89, CFL: 7.20e-01
i:   3300, t:    9137.8 s, ωt:   0.91 (0.15 periods), wall: 1.552 minutes, Δt:   1.74, CFL: 7.20e-01
i:   3400, t:    9300.5 s, ωt:   0.93 (0.15 periods), wall: 1.589 minutes, Δt:   1.69, CFL: 7.20e-01
i:   3500, t:    9470.3 s, ωt:   0.95 (0.15 periods), wall: 1.627 minutes, Δt:   1.57, CFL: 7.20e-01
i:   3600, t:    9636.7 s, ωt:   0.96 (0.15 periods), wall: 1.664 minutes, Δt:   1.65, CFL: 7.20e-01
i:   3700, t:    9796.6 s, ωt:   0.98 (0.16 periods), wall: 1.701 minutes, Δt:   1.79, CFL: 7.20e-01
i:   3800, t:    9952.7 s, ωt:   1.00 (0.16 periods), wall: 1.738 minutes, Δt:   1.57, CFL: 7.20e-01
i:   3900, t:   10100.3 s, ωt:   1.01 (0.16 periods), wall: 1.776 minutes, Δt:   1.32, CFL: 7.20e-01
i:   4000, t:   10243.8 s, ωt:   1.02 (0.16 periods), wall: 1.813 minutes, Δt:   1.50, CFL: 7.20e-01
i:   4100, t:   10410.2 s, ωt:   1.04 (0.17 periods), wall: 1.850 minutes, Δt:   1.67, CFL: 7.20e-01
i:   4200, t:   10561.2 s, ωt:   1.06 (0.17 periods), wall: 1.887 minutes, Δt:   1.57, CFL: 7.20e-01
i:   4300, t:   10709.0 s, ωt:   1.07 (0.17 periods), wall: 1.924 minutes, Δt:   1.51, CFL: 7.20e-01
i:   4400, t:   10858.3 s, ωt:   1.09 (0.17 periods), wall: 1.961 minutes, Δt:   1.48, CFL: 7.20e-01
i:   4500, t:   11001.1 s, ωt:   1.10 (0.18 periods), wall: 1.998 minutes, Δt:   1.36, CFL: 7.20e-01
i:   4600, t:   11149.9 s, ωt:   1.11 (0.18 periods), wall: 2.036 minutes, Δt:   1.74, CFL: 7.20e-01
i:   4700, t:   11302.8 s, ωt:   1.13 (0.18 periods), wall: 2.073 minutes, Δt:   1.31, CFL: 7.20e-01
i:   4800, t:   11442.5 s, ωt:   1.14 (0.18 periods), wall: 2.110 minutes, Δt:   1.29, CFL: 7.20e-01
i:   4900, t:   11589.2 s, ωt:   1.16 (0.18 periods), wall: 2.147 minutes, Δt:   1.62, CFL: 7.20e-01
i:   5000, t:   11739.6 s, ωt:   1.17 (0.19 periods), wall: 2.184 minutes, Δt:   1.45, CFL: 7.20e-01
i:   5100, t:   11888.9 s, ωt:   1.19 (0.19 periods), wall: 2.221 minutes, Δt:   1.40, CFL: 7.20e-01
i:   5200, t:   12033.1 s, ωt:   1.20 (0.19 periods), wall: 2.259 minutes, Δt:   1.46, CFL: 7.20e-01
i:   5300, t:   12179.2 s, ωt:   1.22 (0.19 periods), wall: 2.296 minutes, Δt:   1.56, CFL: 7.20e-01
i:   5400, t:   12316.8 s, ωt:   1.23 (0.20 periods), wall: 2.333 minutes, Δt:   1.23, CFL: 7.20e-01
i:   5500, t:   12449.0 s, ωt:   1.24 (0.20 periods), wall: 2.370 minutes, Δt:   1.20, CFL: 7.20e-01
i:   5600, t:   12583.8 s, ωt:   1.26 (0.20 periods), wall: 2.408 minutes, Δt:   1.26, CFL: 7.20e-01
i:   5700, t:   12717.9 s, ωt:   1.27 (0.20 periods), wall: 2.445 minutes, Δt:   1.22, CFL: 7.20e-01
i:   5800, t:   12864.1 s, ωt:   1.29 (0.20 periods), wall: 2.482 minutes, Δt:   1.53, CFL: 7.20e-01
i:   5900, t:   12988.1 s, ωt:   1.30 (0.21 periods), wall: 2.519 minutes, Δt:   1.34, CFL: 7.20e-01
i:   6000, t:   13123.0 s, ωt:   1.31 (0.21 periods), wall: 2.556 minutes, Δt:   1.34, CFL: 7.20e-01
i:   6100, t:   13245.6 s, ωt:   1.32 (0.21 periods), wall: 2.594 minutes, Δt:   1.46, CFL: 7.20e-01
i:   6200, t:   13386.8 s, ωt:   1.34 (0.21 periods), wall: 2.631 minutes, Δt:   1.27, CFL: 7.20e-01
i:   6300, t:   13523.8 s, ωt:   1.35 (0.22 periods), wall: 2.668 minutes, Δt:   1.36, CFL: 7.20e-01
