i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 10.958 seconds, Δt:   1.20, CFL: 1.65e-01
i:    100, t:     307.7 s, ωt:   0.03 (0.00 periods), wall: 22.712 seconds, Δt:   5.99, CFL: 7.20e-01
i:    200, t:     879.9 s, ωt:   0.09 (0.01 periods), wall: 24.939 seconds, Δt:   5.99, CFL: 7.20e-01
i:    300, t:    1414.3 s, ωt:   0.14 (0.02 periods), wall: 27.186 seconds, Δt:   5.50, CFL: 7.20e-01
i:    400, t:    1950.2 s, ωt:   0.20 (0.03 periods), wall: 29.418 seconds, Δt:   4.33, CFL: 7.20e-01
i:    500, t:    2438.6 s, ωt:   0.24 (0.04 periods), wall: 31.669 seconds, Δt:   4.95, CFL: 7.20e-01
i:    600, t:    2882.2 s, ωt:   0.29 (0.05 periods), wall: 33.916 seconds, Δt:   3.83, CFL: 7.20e-01
i:    700, t:    3319.8 s, ωt:   0.33 (0.05 periods), wall: 36.143 seconds, Δt:   4.56, CFL: 7.20e-01
i:    800, t:    3740.1 s, ωt:   0.37 (0.06 periods), wall: 38.366 seconds, Δt:   3.90, CFL: 7.20e-01
i:    900, t:    4114.8 s, ωt:   0.41 (0.07 periods), wall: 40.614 seconds, Δt:   2.63, CFL: 7.20e-01
i:   1000, t:    4392.8 s, ωt:   0.44 (0.07 periods), wall: 42.837 seconds, Δt:   3.03, CFL: 7.20e-01
i:   1100, t:    4695.3 s, ωt:   0.47 (0.07 periods), wall: 45.103 seconds, Δt:   3.02, CFL: 7.20e-01
i:   1200, t:    4967.7 s, ωt:   0.50 (0.08 periods), wall: 47.342 seconds, Δt:   2.44, CFL: 7.20e-01
i:   1300, t:    5211.1 s, ωt:   0.52 (0.08 periods), wall: 49.583 seconds, Δt:   2.64, CFL: 7.20e-01
i:   1400, t:    5453.6 s, ωt:   0.55 (0.09 periods), wall: 51.826 seconds, Δt:   2.47, CFL: 7.20e-01
